BOCKELBERG,BOCKELBERG;LOCKES CLAYPAN
CAMPBELL,CHANDADA;INKSTER;MARYVALE;STREAKY BAY
CHANDADA,CHANDADA;CUNGENA;POOCHERA
CUNGENA,CUNGENA;KALDOONERA;YANTANABIE
FINLAYSON,HASLAM;PERLUBIE;PETINA
FORREST,MARYVALE;STREAKY BAY;YANERBIE
HASLAM,CARAWA;HASLAM;PETINA
INKSTER,CHANDADA;INKSTER;MOUNT COOPER
KALDOONERA,KALDOONERA
KARCULTABY,KARCULTABY;POOCHERA
KOOLGERA,KOOLGERA;PUREBA;WALLALA
MURRAY,CHANDADA;CHILPENUNDA;CUNGENA;PIEDNIPPIE
PERLUBIE,PETINA;PIMBAACLA;WIRRULLA
RIPON,STREAKY BAY;WESTALL;YANERBIE
ROUNSEVELL,COLLEY;MORTANA;TYRINGA;WITERA
SCOTT,EBA ANCHORAGE;PERLUBIE;PIEDNIPPIE;STREAKY BAY
TARLTON,CHILPENUNDA;CUNGENA;PETINA
WALLALA,PUREBA;WALLALA;WIRRULLA
WALPUPPIE,WALLALA;WIRRULLA;YANTANABIE
WITERA,COLLEY;INKSTER;MOUNT COOPER;WITERA
WRENFORDSLEY,BAIRD BAY;CALCA;MORTANA;SCEALE BAY;YANERBIE
WRIGHT,COLLEY;WITERA
YANTANABIE,KALDOONERA;KOOLGERA;PUREBA;WALLALA;YANTANABIE
