BAIRD BAY,BAIRD BAY SA 5671
BOCKELBERG,BOCKELBERG SA 5655
CALCA,CALCA SA 5671
CARAWA,CARAWA SA 5680
CHANDADA,CHANDADA SA 5680
CHILPENUNDA,CHILPENUNDA SA 5660
COLLEY,COLLEY SA 5671
CUNGENA,CUNGENA SA 5660
EBA ANCHORAGE,EBA ANCHORAGE SA 5680
HASLAM,HASLAM SA 5680
INKSTER,INKSTER SA 5680
KALDOONERA,KALDOONERA SA 5655
KARCULTABY,KARCULTABY SA 5654
KOOLGERA,KOOLGERA SA 5661
MARYVALE,MARYVALE SA 5680
MORTANA,MORTANA SA 5671
MOUNT COOPER,MOUNT COOPER SA 5671
MT COOPER,MOUNT COOPER SA 5671
PERLUBIE,PERLUBIE SA 5680
PETINA,PETINA SA 5680
PIEDNIPPIE,PIEDNIPPIE SA 5680
PIMBAACLA,PIMBAACLA SA 5661
POOCHERA,POOCHERA SA 5655
PUREBA,PUREBA SA 5680
SCEALE BAY,SCEALE BAY SA 5680
STREAKY BAY,STREAKY BAY SA 5680
TYRINGA,TYRINGA SA 5671
WALLALA,WALLALA SA 5661
WALLALLA,WALLALA SA 5661
WESTALL,WESTALL SA 5680
WIRRULLA,WIRRULLA SA 5661
WITERA,WITERA SA 5671
YANERBIE,YANERBIE SA 5680
YANERBY,YANERBIE SA 5680
YANTANABIE,YANTANABIE SA 5661
